word,feminine,neuter,comparative,superlative,adverb,declension,adj_stem
Severianus,Severiana,Severianum,Severianior,Severianissimus,Severiane,12,Severian
Papinianeus,Papinianea,Papinianeum,Papinianeior,Papinianeissimus,Papinianee,12,Papiniane
papyrius,papyria,papyrium,papyriior,papyriissimus,papyrie,12,papyri
synchronus,synchrona,synchronum,synchronior,synchronissimus,synchrone,12,synchron
astrosus,astrosa,astrosum,astrosior,astrosissimus,astrose,12,astros
cruralis,cruralis,crurale,cruralior,cruralissimus,cruraliter,3,crural
plisimus,plisima,plisimum,plisimior,plisimissimus,plisime,12,plisim
desiderosus,desiderosa,desiderosum,desiderosior,desiderosissimus,desiderose,12,desideros
primigenus,primigena,primigenum,primigenior,primigenissimus,primigene,12,primigen
testitrahus,testitraha,testitrahum,testitrahior,testitrahissimus,testitrahe,12,testitrah
reciprocicornis,reciprocicornis,reciprocicorne,reciprocicornior,reciprocicornissimus,reciprocicorniter,3,reciprocicorn
infacundus,infacunda,infacundum,infacundior,infacundissimus,infacunde,12,infacund
Oronteus,Orontea,Oronteum,Oronteior,Oronteissimus,Orontee,12,Oronte
Palmyrenus,Palmyrena,Palmyrenum,Palmyrenior,Palmyrenissimus,Palmyrene,12,Palmyren
Antiochenus,Antiochena,Antiochenum,Antiochenior,Antiochenissimus,Antiochene,12,Antiochen
berytensis,berytensis,berytense,berytensior,berytensissimus,berytensiter,3,berytens
emisenus,emisena,emisenum,emisenior,emisenissimus,emisene,12,emisen
antiochensis,antiochensis,antiochense,antiochensior,antiochensissimus,antiochensiter,3,antiochens
berytius,berytia,berytium,berytiior,berytiissimus,berytie,12,beryti
communicabilis,communicabilis,communicabile,communicabilior,communicabilissimus,communicabiliter,3,communicabil
litterosus,litterosa,litterosum,litterosior,litterosissimus,litterose,12,litteros
hortatorius,hortatoria,hortatorium,hortatoriior,hortatoriissimus,hortatorie,12,hortatori
lethalis,lethalis,lethale,lethalior,lethalissimus,lethaliter,3,lethal
ablutivus,ablutiva,ablutivum,ablutivior,ablutivissimus,ablutive,12,ablutiv
hyoideus,hyoidea,hyoideum,hyoideior,hyoideissimus,hyoidee,12,hyoide
ferinus,ferina,ferinum,ferinior,ferinissimus,ferine,12,ferin
balaustinus,balaustina,balaustinum,balaustinior,balaustinissimus,balaustine,12,balaustin
cricoides,cricoides,cricoides,cricoidior,cricoidissimus,cricoiditer,3,cricoid
arytaenoides,arytaenoides,arytaenoides,arytaenoidior,arytaenoidissimus,arytaenoiditer,3,arytaenoid
thyreoideus,thyreoidea,thyreoideum,thyreoideior,thyreoideissimus,thyreoidee,12,thyreoide
thyreoides,thyreoides,thyreoides,thyreoidior,thyreoidissimus,thyreoiditer,3,thyreoid
sphenoides,sphenoides,sphenoides,sphenoidior,sphenoidissimus,sphenoiditer,3,sphenoid
mastigophorus,mastigophora,mastigophorum,mastigophorior,mastigophorissimus,mastigophore,12,mastigophor
profectitius,profectitia,profectitium,profectitiior,profectitiissimus,profectitie,12,profectiti
profecticius,profecticia,profecticium,profecticiior,profecticiissimus,profecticie,12,profectici
incohativus,incohativa,incohativum,incohativior,incohativissimus,incohative,12,incohativ
choroides,choroides,choroides,choroidior,choroidissimus,choroiditer,3,choroid
crapulosus,crapulosa,crapulosum,crapulosior,crapulosissimus,crapulose,12,crapulos
trichiurus,trichiura,trichiurum,trichiurior,trichiurissimus,trichiure,12,trichiur
stercoralis,stercoralis,stercorale,stercoralior,stercoralissimus,stercoraliter,3,stercoral
lumbricoides,lumbricoides,lumbricoides,lumbricoidior,lumbricoidissimus,lumbricoiditer,3,lumbricoid
duodenalis,duodenalis,duodenale,duodenalior,duodenalissimus,duodenaliter,3,duodenal
malayanius,malayania,malayanium,malayaniior,malayaniissimus,malayanie,12,malayani
streptocercus,streptocerca,streptocercum,streptocercior,streptocercissimus,streptocerce,12,streptocerc
medinensis,medinensis,medinense,medinensior,medinensissimus,medinensiter,3,medinens
chilopodus,chilopoda,chilopodum,chilopodior,chilopodissimus,chilopode,12,chilopod
diplopodus,diplopoda,diplopodum,diplopodior,diplopodissimus,diplopode,12,diplopod
pentastomus,pentastoma,pentastomum,pentastomior,pentastomissimus,pentastome,12,pentastom
irremeabilis,irremeabilis,irremeabile,irremeabilior,irremeabilissimus,irremeabiliter,3,irremeabil
repostus,reposta,repostum,repostior,repostissimus,reposte,12,repost
irritabilis,irritabilis,irritabile,irritabilior,irritabilissimus,irritabiliter,3,irritabil
Mercurialis,Mercurialis,Mercuriale,Mercurialior,Mercurialissimus,Mercurialiter,3,Mercurial
